video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,roberta-neg,roberta-neu,roberta-pos,channel_id
PKMp0deSdCo,UgySwrQKCD7CO4K-zb94AaABAg,@EmilyVictoria-mq5ws,https://yt3.ggpht.com/HRZm25JthiIkW6IPVnbjEIZEBakgAw7g05LnRgMHNTTTjKkXFm0d66P9xgxDhtVnVKu1BXZX=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@EmilyVictoria-mq5ws,UCO3YGDuUP2PqBGGWYhTzP-A,Oi,2023-06-13T21:07:52Z,2023-06-13T21:07:52Z,3,none,True,False,,0.2699635922908783,0.5393761396408081,0.190660297870636,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgytI6YQVJiN77oElvp4AaABAg,@Annax013,https://yt3.ggpht.com/EhQ2TcaIqA-xEX2eSgbu39OpqTzZ4TvPHWzHN2gUgNgwpk21NfnwxTJtczqrRNFvpIVKFdW8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Annax013,UCAa3I7vRywUmEzizbBAIS4w,ILha,2023-06-13T21:04:27Z,2023-06-13T21:04:27Z,0,none,True,False,,0.2034536451101303,0.6459577083587646,0.15058870613574982,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgxWFjj9OrJ0TYjTgyJ4AaABAg,@cria_do_mengo,https://yt3.ggpht.com/QEryLixhQs7yhP_Xgw-9HWTqXrWQdY3wjKToCZrMM71OGonorVNEGoZuavCHRdr-JbeAOqb91Eg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cria_do_mengo,UCsPRZ0-HcYPWQxQEgPSGt-Q,Eu amo seus vídeos,2023-06-13T20:59:07Z,2023-06-13T20:59:07Z,19,none,True,False,,0.09995543956756592,0.7679898738861084,0.13205474615097046,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgxWFjj9OrJ0TYjTgyJ4AaABAg.9quysCsguoy9sEDJL_MS2U,@VitoriaLima-yo2rj,https://yt3.ggpht.com/ytc/AIdro_kzvqBzC6fY6zA6uGYray-m98W0rLkFN-UBKQZGT0pe5rCZwKob-WW8VOH_U81sHWX3tg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@VitoriaLima-yo2rj,UCE0cA7NN23dxh95vcQxZ-eQ,❤❤❤❤❤❤🎉🎉🎉🎉🎉,2023-07-16T14:10:14Z,2023-07-16T14:10:14Z,0,none,True,True,UgxWFjj9OrJ0TYjTgyJ4AaABAg,,,,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgwswvX8QE3_agekgIF4AaABAg,@pauloelias8384,https://yt3.ggpht.com/ytc/AIdro_kn8JEJqukStMSOopg9Be7FuBFVrTmKIaGA-0ACSgv_DbaSm1aYIRQtV5lP9Vm9fOadYg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@pauloelias8384,UCafasVBYSift_B7yCjKI4PQ,Ilha,2023-06-13T20:56:52Z,2023-06-13T20:56:52Z,0,none,True,False,,0.20896494388580322,0.6259809136390686,0.16505417227745056,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgzbFV31ftvnc9Yv1M54AaABAg,@mayaraPires-zc5hi,https://yt3.ggpht.com/qcuBWM20oek3y-OkXhJFf_PDLKZcsR3Xu6liQ2B9s4dGbdOc5SHVQhrIlYcSASikytm8PgaJ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mayaraPires-zc5hi,UC7J3PJ80vvX0GzhAPDemdAw,Dinheiro ❤,2023-06-13T20:56:32Z,2023-06-13T20:56:32Z,3,none,True,False,,0.003059450536966324,0.13846087455749512,0.8584796190261841,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,Ugz93T8g1haqmDuWVOh4AaABAg,@iranildasilva8171,https://yt3.ggpht.com/_i5s7BZse1mqmBK9aSBo6-3yPcJeMzSl_woeQXtj0oud5ig8tO0wsTzWVyY9cqgF-9k5Nji5=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@iranildasilva8171,UCsSYU7breI09tEYAPwC3itQ,Ijad,2023-06-13T20:55:46Z,2023-06-13T20:55:46Z,2,none,True,False,,0.2062927484512329,0.5801198482513428,0.2135874629020691,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgwK7QQYXyfQ8-VQ4Wh4AaABAg,@RyanCarvalho-m8o,https://yt3.ggpht.com/ytc/AIdro_lp9OQ-_ykMGuXZ9KrcKyPSm9kA9vB9cMF5T5UXie-0OmMMmgygTjG1BuATiGxiSrkuCQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@RyanCarvalho-m8o,UCPGZKkM8mmqGDn5AwSf-Aug,Ilha,2023-06-13T20:54:51Z,2023-06-13T20:54:51Z,0,none,True,False,,0.20896494388580322,0.6259809136390686,0.16505417227745056,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgzXEUSdfrbagcNu0994AaABAg,@lourannylopes2943,https://yt3.ggpht.com/cRozSRkuwZd1H_m_Tt-jdcKq8DZpqWbwsHnrFeXWO0fMTBAoG4cvhDrChRIQA5YvZxP9iMoz_Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lourannylopes2943,UC2DzoVL0L46D_seNOnBLq4A,Ilha,2023-06-13T20:54:45Z,2023-06-13T20:54:45Z,0,none,True,False,,0.20896494388580322,0.6259809136390686,0.16505417227745056,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgzMp2CCFX54-N1L0mR4AaABAg,@Patricia-tg4xi,https://yt3.ggpht.com/tx5GWVn4MtCsEXIK3rxE0pkuHiIOz6gZplA69b-xMdmei39aG1E8w1zc8oTpyT9yeHAOEdyh=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Patricia-tg4xi,UCGwDRTkWZYwz6QEviasb0sQ,Ilha,2023-06-13T20:46:52Z,2023-06-13T20:46:52Z,0,none,True,False,,0.20896494388580322,0.6259809136390686,0.16505417227745056,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,Ugw5jfiX6jmp71obAr54AaABAg,@mayaraPires-zc5hi,https://yt3.ggpht.com/qcuBWM20oek3y-OkXhJFf_PDLKZcsR3Xu6liQ2B9s4dGbdOc5SHVQhrIlYcSASikytm8PgaJ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mayaraPires-zc5hi,UC7J3PJ80vvX0GzhAPDemdAw,ilha ❤❤❤,2023-06-13T20:43:40Z,2023-06-13T20:43:40Z,3,none,True,False,,0.0038543101400136948,0.0901620164513588,0.9059836864471436,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgxY_Nq11PbNsHJYy1l4AaABAg,@BigmanAlexandre,https://yt3.ggpht.com/ytc/AIdro_nWyPWxkLouOOka6GuHM8izDlE_yXnC5xTup5HP8T7CMeTZxq27qge_MoyYv6lzf2FRtw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@BigmanAlexandre,UChFpRskCcG_vv9s5UNyjCgA,Se não achar legal que eu disse não deixa o like para mim beleza se acha legal deixa,2023-06-13T20:37:37Z,2023-06-13T20:37:37Z,1,none,True,False,,0.13649789988994598,0.8163261413574219,0.04717604070901871,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgycQWox_xmIeCqUrPJ4AaABAg,@BigmanAlexandre,https://yt3.ggpht.com/ytc/AIdro_nWyPWxkLouOOka6GuHM8izDlE_yXnC5xTup5HP8T7CMeTZxq27qge_MoyYv6lzf2FRtw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@BigmanAlexandre,UChFpRskCcG_vv9s5UNyjCgA,Eu saio no Haiti foi para o Brasil e agora está aí no Brasil foi para o Estados Unidos em😅🇭🇹🇧🇷🇺🇸,2023-06-13T20:36:58Z,2023-06-13T20:36:58Z,5,none,True,False,,0.047342151403427124,0.6738939881324768,0.27876389026641846,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgycQWox_xmIeCqUrPJ4AaABAg.9quwL14x6LD9qvZgv2R-30,@SaraPriscila-dn2iqlt,https://yt3.ggpht.com/5w1nFs7wpFVjcHwUVG82JXQDgW7wz9_iHXwmeDQHwOXXGwjgGwwfbUmersLVfUFxP7iEnUb3vQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@SaraPriscila-dn2iqlt,UC5fAiAo05PXCOuuk99wIuGw,🤑🤑🤑🤑🤑🤑🤑🤑,2023-06-14T02:29:37Z,2023-06-14T02:29:37Z,0,none,True,True,UgycQWox_xmIeCqUrPJ4AaABAg,,,,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,Ugy156Q4IzQcydGPawB4AaABAg,@williamgoncalves823,https://yt3.ggpht.com/ytc/AIdro_mZc4zmVJypLMNHULLyrOLIH5j4ROdhNY4GzlNL_IBrxVgUQS4IT_UqjXMrykjAWMs9HA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@williamgoncalves823,UC4AS_GtOjNAfevf5mmm9WaA,incrível,2023-06-13T20:34:42Z,2023-06-13T20:34:42Z,8,none,True,False,,0.18367700278759003,0.6424791216850281,0.17384383082389832,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgzzzbU_CjrMh5OZ_194AaABAg,@RSgemer-gi2ox,https://yt3.ggpht.com/qXEVUfzgaAF8dCoBy-dbgJo1yferNxXa1ZiBA5Yhm8ylY0Rq4YCEPJy52aOWM-Zr31BIZ3-1-w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@RSgemer-gi2ox,UCAEeGZ4UDitiMeB5LbUbX4Q,👍,2023-06-13T20:33:20Z,2023-06-13T20:33:20Z,1,none,True,False,,0.029270939528942108,0.38502252101898193,0.5857065320014954,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,Ugxm06CBjCfi44T9-Ox4AaABAg,@JoazinnCanalSecudario,https://yt3.ggpht.com/xAaTPcNBKN1RQOAhyC03EfeZYhl3Lff8zNqBNwxoXYR6s22I_1VDJ11k_-crPs_FMTLZrV55sXU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@JoazinnCanalSecudario,UCsXjluT3EOf4Fj_fT6ivk1g,Kitesurf   you,2023-06-13T20:32:20Z,2023-06-13T20:32:20Z,1,none,True,False,,0.2015596479177475,0.7084278464317322,0.09001254290342331,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgyMO3CLcvWV8KPZNih4AaABAg,@DanielSantos-jm4dp,https://yt3.ggpht.com/ytc/AIdro_k65DZsAHQBUnAuOxSZT7r9fAk4iy8_eNYr_aT6LrBfoCwrcS85Lh9VOPaGRI17GotdtA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@DanielSantos-jm4dp,UCfRbMxv5IIhJOKY4ENb0RjQ,Mêda oi por favor kass é kr,2023-06-13T20:31:40Z,2023-06-13T20:31:40Z,1,none,True,False,,0.07784906774759293,0.8440992832183838,0.07805167883634567,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,Ugy-IbwsuVSYJRsIdl14AaABAg,@Flower_red199,https://yt3.ggpht.com/93bJNZYH8fuENSAygCPyYeNpRnGh1PlXcpeTX5KzS2V_4uGFHVQnavDlUR6WN9q6oHIheSYX5A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Flower_red199,UChjIs7kAFpKInoq2E0LRUBQ,Por favor me responde sou muito sua fã adoro os vídeos de vcs😊,2023-06-13T20:31:39Z,2023-06-13T20:31:39Z,4,none,True,False,,0.006986054126173258,0.3785374164581299,0.6144765019416809,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,Ugz8I7mSz4IWklVp1k54AaABAg,@Flower_red199,https://yt3.ggpht.com/93bJNZYH8fuENSAygCPyYeNpRnGh1PlXcpeTX5KzS2V_4uGFHVQnavDlUR6WN9q6oHIheSYX5A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Flower_red199,UChjIs7kAFpKInoq2E0LRUBQ,Oiiiiiiiiiiiuu😊,2023-06-13T20:31:07Z,2023-06-13T20:31:07Z,0,none,True,False,,0.002246550749987364,0.08990295976400375,0.9078505635261536,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,Ugx6pNkmnrt83-2mHWd4AaABAg,@Beautiful_girl27,https://yt3.ggpht.com/m5zcHQmngyEfuk9kh6SPQ5Y8PZj8enwpDdSDQu1ZHbusdPLDbc8Tae8_3RLNFPy370VWVoU9IA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Beautiful_girl27,UCzWv0rI7dfvKHvv9Wnqf68g,Primeira fixa??❤❤❤(ilha),2023-06-13T20:31:06Z,2023-06-13T20:39:36Z,4,none,True,False,,0.004389224108308554,0.158431738615036,0.8371790647506714,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,UgyMjnJsRvAS06ZdJzB4AaABAg,@VitoriaParaiso,https://yt3.ggpht.com/ytc/AIdro_nfdS30OFU0VMHe0Vbrc4mAIXnINFvVUV2GydwXyyqhlnPdW9JuCjp1B7pCuhg4jeC7Gw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@VitoriaParaiso,UCyNNjrSpIe-R2YI62HYiOsQ,❤,2023-06-13T20:31:00Z,2023-06-13T20:31:00Z,1,none,True,False,,0.009744410403072834,0.2173171490430832,0.7729384303092957,UC9Qu6o04oTf-b2acahQVk1g
PKMp0deSdCo,Ugy1hT7Tr-bV2qNmuvZ4AaABAg,@VitoriaParaiso,https://yt3.ggpht.com/ytc/AIdro_nfdS30OFU0VMHe0Vbrc4mAIXnINFvVUV2GydwXyyqhlnPdW9JuCjp1B7pCuhg4jeC7Gw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@VitoriaParaiso,UCyNNjrSpIe-R2YI62HYiOsQ,Eu amo,2023-06-13T20:30:48Z,2023-06-13T20:30:48Z,2,none,True,False,,0.138676717877388,0.6438480019569397,0.2174753099679947,UC9Qu6o04oTf-b2acahQVk1g
